id	author	documents	total link strength
682	"delles, christian"	3	41	3.00
683	"delpech, v."	1	9	1.00
684	"demarco, andrew t."	1	2	1.00
685	"demchuck, a. m."	1	10	1.00
686	"demchuck, andrew m."	1	1	1.00
687	"demchuk, andrew"	1	0	1.00
688	"demchuk, andrew m"	1	0	1.00
689	"demchuk, andrew m."	20	475	20.00
690	"demmin, docia"	1	4	1.00
691	"denadai-souza, alexandre"	1	30	1.00
692	"denk-florea, cristina-bianca"	2	4	2.00
693	"dennis, martin s."	1	14	1.00
694	"denvir, martin"	1	16	1.00
695	"derdikman, dori"	1	32	1.00
696	"dering, benjamin"	1	15	1.00
697	"desai, shashvat m."	1	2	1.00
698	"desal, hubert"	1	2	1.00
699	"deshmukh, amol"	1	0	1.00
700	"desormeaux, cleo"	1	30	1.00
701	"destoky, florian"	1	8	1.00
702	"detante, olivier"	1	12	1.00
703	"deuchar, graeme a."	2	24	2.00
704	"dewar, deborah"	1	1	1.00
705	"dexter, david t."	2	25	2.00
706	"dhall, rohit"	1	16	1.00
707	"di biase, lazzaro"	2	72	2.00
708	"di fazio, chiara"	2	18	2.00
709	"di gregorio, francesco"	2	8	2.00
710	"di lazzaro, vincenzo"	3	205	3.00
711	"di luzio, paolo"	1	6	1.00
712	"diamond, mathew e."	1	19	1.00
713	"diaz, andrew"	1	5	1.00
714	"diaz, j. a."	1	1	1.00
715	"diaz, jessica a."	1	18	1.00
716	"diaz, paula"	1	0	1.00
717	"dichgans, m."	1	1	1.00
718	"dichgans, martin"	1	1	1.00
719	"dickenson, anthony h."	1	0	1.00
720	"dickie, allen c."	6	173	6.00
721	"dickie, d. a."	1	2	1.00
722	"dickie, david a."	1	18	1.00
723	"dickie, llen c."	1	43	1.00
724	"dickinson, adam"	1	15	1.00
725	"dickson, s."	1	2	1.00
726	"didio, giuliano"	1	6	1.00
727	"diehl, beate"	1	16	1.00
728	"diersch, nadine"	1	8	1.00
729	"dietrich, gilles"	1	30	1.00
730	"dikker, suzanne"	1	1	1.00
731	"dilkina, bistra"	1	0	1.00
732	"dilys, vismantas"	3	19	3.00
733	"ding, huiping"	1	11	1.00
734	"dinsmore, lynn"	1	14	1.00
735	"diosi, kata"	2	4	2.00
736	"dippel, d. w. j."	1	10	1.00
737	"dippel, diederik w j"	2	0	2.00
738	"dippel, diederik w."	2	13	2.00
739	"dippel, diederik w. j."	16	398	16.00
740	"dixit, anand"	2	242	2.00
741	"dixon, mark"	1	2	1.00
742	"dixon, peter h."	1	1	1.00
743	"dobrego, aleksandra"	1	1	1.00
744	"docherty, ciaran"	2	8	2.00
745	"doherty, aiden"	1	29	1.00
746	"dolfen, nina"	2	5	2.00
747	"donaldson, david i."	2	138	2.00
748	"donaldson, david, i"	2	73	2.00
749	"donaldson, peter"	1	2	1.00
750	"doney, alex"	1	18	1.00
751	"donnan, geoffrey a."	4	112	4.00
752	"donnarumma, francesco"	1	9	1.00
753	"donnelly, jennifer"	1	1	1.00
754	"donner, tobias h."	1	5	1.00
755	"donnett, jim"	1	1	1.00
756	"dora, shirin"	1	28	1.00
757	"doroudi, rozhin"	3	13	3.00
758	"dowlatshahi, dar"	1	7	1.00
759	"dowling, f."	1	2	1.00
760	"dowling, francis"	1	14	1.00
761	"downing, paul e."	1	2	1.00
762	"dragoi, george"	1	12	1.00
763	"draper, steve"	4	28	4.00
764	"dresler, t."	1	27	1.00
765	"drever, jonathan"	1	14	1.00
766	"driebe, julie c."	1	0	1.00
767	"driver, ian d."	2	26	2.00
768	"drysdale, martin"	1	8	1.00
769	"du, houwei"	2	28	2.00
770	"duan, yaocong"	2	2	2.00
771	"due-tonnessen, pauline"	1	31	1.00
772	"duecker, felix"	1	15	1.00
773	"duggal, galbha"	2	47	2.00
774	"dumoulin, serge o."	16	273	16.00
775	"duncan, george"	1	18	1.00
776	"dunn, laurence"	1	46	1.00
777	"dupierrix, eve"	1	3	1.00
778	"dupont, patrick"	6	24	6.00
779	"dupret, david"	1	16	1.00
780	"during, marco"	1	1	1.00
781	"dutra, bruna g."	1	3	1.00
782	"dutriaux, leo"	2	62	2.00
783	"duvelle, e."	1	2	1.00
784	"duvelle, eleonore"	4	42	4.00
785	"dye, david"	1	0	1.00
786	"dzialowski, imanuel"	1	7	1.00
787	"ebinger, m."	1	3	1.00
788	"ebinger, martin"	27	141	27.00
789	"ebner, daniel"	1	85	1.00
790	"edden, richard a. e."	1	4	1.00
791	"edgar, chris"	1	54	1.00
792	"edwards, grace"	1	21	1.00
793	"edwards, martin"	1	0	1.00
794	"edwards, martin g."	1	8	1.00
795	"ehses, p."	1	27	1.00
796	"ehses, philipp"	1	13	1.00
797	"eichert, nicole"	1	4	1.00
798	"eickel, klaus"	2	4	2.00
799	"el khoueiry, corinne"	1	0	1.00
800	el spaeth	1	4	1.00
801	"el tawil, salwa"	2	37	2.00
802	"el-gaby, mohamady"	1	2	1.00
803	"el-nasr, magy seif"	1	2	1.00
804	"el-tawil, salwa"	3	10	3.00
805	"elbert, thomas"	1	18	1.00
806	"eliez, stephan"	2	7	2.00
807	"elkind, mitchell s. v."	1	27	1.00
808	"elliot, dely lazarte"	1	4	1.00
809	"elliot, jennifer"	1	2	1.00
810	"elliott, heather"	1	15	1.00
811	"emraja, ahmed m. m."	1	31	1.00
812	"endres, m."	1	3	1.00
813	"endres, matthias"	27	141	27.00
814	"engelter, stefan t."	1	2	1.00
815	"england, timothy"	1	2	1.00
816	"english, rosanne"	1	1	1.00
817	"englund, jonas"	1	6	1.00
818	"enns, james t."	1	19	1.00
819	"epstein, jonathan"	1	9	1.00
820	"erb, michael"	1	12	1.00
821	"ergun, ozlem"	3	13	3.00
822	"erhard, peter"	1	10	1.00
823	"ernst, marielle"	1	1	1.00
824	"estes, zachary"	1	6	1.00
825	"esteve-agraz, joan"	1	2	1.00
826	"estiu, maria cecilia"	1	1	1.00
827	"ethofer, t."	1	27	1.00
828	"etlin, alexander"	1	36	1.00
829	"eutamene, helene"	1	30	1.00
830	"evans, james"	1	4	1.00
831	"evans, jonathan"	1	3	1.00
832	"evans, jonathan j."	1	6	1.00
833	"evans, n. p."	1	10	1.00
834	"evetts, samuel g."	1	1	1.00
835	"ezhkova, elena"	1	23	1.00
836	"fabius, jasper h."	5	44	5.00
837	"fackrell, robin"	1	18	1.00
838	"fagoe, nitish"	1	12	1.00
839	"fainardi, enrico"	1	9	1.00
840	"falcone, guido j."	1	27	1.00
841	"fallgatter, a."	1	27	1.00
842	"fallgatter, andreas j."	1	12	1.00
843	"fallon, jennifer"	1	0	1.00
844	"fan, chun c."	1	2	1.00
845	"fan, lei"	1	2	1.00
846	"fan, yu"	1	49	1.00
847	"farias, miguel"	1	21	1.00
848	"farley, martin"	1	2	1.00
849	"farrelly, daniel"	2	31	2.00
850	"farzan, faranak"	1	133	1.00
851	"fasolt, vanessa"	11	170	11.00
852	"fato, m. m."	1	20	1.00
853	"feinberg, david"	1	5	1.00
854	"feinberg, david r."	2	29	2.00
855	"feldmann, edward"	1	42	1.00
856	"felisatti, francesca"	1	11	1.00
857	"fell, juergen"	1	21	1.00
858	"fellner, marie-christin"	1	16	1.00
859	"feng, dan"	4	17	4.00
860	"ferat, victor"	1	5	1.00
861	"ferguson, amy"	1	29	1.00
862	"ferguson, bart"	1	2	1.00
863	"ferguson, hannah s."	1	4	1.00
864	"ferguson, heather j."	2	198	2.00
865	"feric, zlatan"	1	5	1.00
866	"fernandez, leigh b."	2	3	2.00
867	"fernandez-dols, jose-miguel"	1	34	1.00
868	"ferrarelli, fabio"	1	133	1.00
869	"ferreira, c. s."	1	17	1.00
870	"ferreira, catarina s."	3	107	3.00
871	"ferreira, fernanda"	1	3	1.00
872	"ferreri, florinda"	2	72	2.00
873	"fetters, michael d."	1	52	1.00
874	"fiebach, j. b."	1	3	1.00
875	"fiebach, jochen"	2	11	2.00
876	"fiebach, jochen b."	27	143	27.00
877	"fiehler, j."	1	3	1.00
878	"fiehler, jens"	17	107	17.00
879	"field, thalia s."	1	15	1.00
880	"filik, ruth"	1	1	1.00
881	"finisguerra, alessandra"	1	3	1.00
882	"finn, emily s."	1	32	1.00
883	"finnerup, nanna b."	1	51	1.00
884	"fish, laurel a."	1	6	1.00
885	"fisher, charles k."	1	54	1.00
886	"fisher, claire i."	10	284	10.00
887	"fitzgerald, james j."	1	12	1.00
888	"fitzgerald, paul b."	1	133	1.00
889	"fjell, anders m."	1	31	1.00
890	"fladt, joachim"	1	0	1.00
891	"flavell, charlotte r."	1	9	1.00
892	"fleischhauer, jan"	1	14	1.00
893	"fleming, kenneth a."	1	151	1.00
894	"fleming, melanie k."	1	0	1.00
895	"fletcher, paul"	2	273	2.00
896	"flitney, david d."	1	9	1.00
897	"florio, lucia"	2	72	2.00
898	"flottmann, fabian"	1	0	1.00
899	"flower, grace"	1	31	1.00
900	"flynn, jamie r."	1	25	1.00
901	"foltynie, thomas"	7	192	7.00
902	"foltynie, tom"	4	58	4.00
903	"forbes, kirsten"	1	18	1.00
904	"forbes, raeburn"	1	1	1.00
905	"ford, gary a."	2	204	2.00
906	"ford, i."	1	3	1.00
907	"ford, ian"	12	334	12.00
908	"formisano, elia"	1	82	1.00
909	"forscher, patrick s."	1	73	1.00
910	"forster, deborah"	1	1	1.00
911	"forster, ian c."	1	20	1.00
912	"forster, marie-therese"	1	8	1.00
913	"foster, j. e."	1	6	1.00
914	"foster, john e."	1	2	1.00
915	"foster, mary ellen"	1	0	1.00
916	"fouragnan, e. f."	1	0	1.00
917	"fouragnan, elsa"	6	167	6.00
918	"fox, nick"	1	54	1.00
919	"foxe, john j."	1	12	1.00
920	"foxley, sean"	1	19	1.00
921	"fracasso, a."	1	18	1.00
922	"fracasso, alessio"	32	376	32.00
923	"francis, susan"	2	26	2.00
924	"francis, susan t."	2	23	2.00
925	"frank, loren"	1	12	1.00
926	"franklin, a."	1	2	1.00
927	"franks, jonathan"	1	23	1.00
928	"franzen, leon"	1	7	1.00
929	"freeman, daniel"	1	23	1.00
930	"freeman, janet"	1	196	1.00
931	"frei, oleksandr"	1	2	1.00
932	"freund, inga marie"	1	11	1.00
933	"frey, dietmar"	1	0	1.00
934	"fricker, desdemona"	1	0	1.00
935	"friston, karl j."	1	12	1.00
936	"frith, chris"	2	273	2.00
937	"frohlich, flavio"	1	140	1.00
938	"frolova, elizaveta"	1	8	1.00
939	"frost, nollaig"	1	11	1.00
940	"frost, robert"	1	1	1.00
941	"frum, chris a."	1	0	1.00
942	"frumkin, lara a."	2	4	2.00
943	"fu, xiao"	2	198	2.00
944	"fu, zhanao"	1	0	1.00
945	"fuller, h. r."	1	34	1.00
946	"fuller, heidi r."	1	0	1.00
947	"furniss, dominic"	2	22	2.00
948	"furuta, takahiro"	4	113	4.00
949	"fusar-poli, paolo"	2	44	2.00
950	"gaglianese, anna"	1	3	1.00
951	"gagliardi, rubens j."	1	2	1.00
952	"gaillard, elisa"	1	2	1.00
953	"gajwani, ruchika"	17	204	17.00
954	"gale, daniel p."	1	1	1.00
955	"galea, ian"	1	2	1.00
956	"galinovic, i."	1	3	1.00
957	"galinovic, ivana"	14	95	14.00
958	"galkina, anastasia"	1	5	1.00
959	"gallagher, andrew g."	1	3	1.00
960	"gallagher, aodhan"	1	3	1.00
961	"gallagher, jill"	2	25	2.00
962	"gallagher, l."	2	6	2.00
963	"gallagher, lindsay"	5	40	5.00
964	"galllagher, l."	1	11	1.00
965	"gan-or, ziv"	1	2	1.00
966	"gancz, benjamin"	2	4	2.00
967	"gandhi, sonia"	2	5	2.00
968	"ganguly, karunesh"	1	12	1.00
969	"ganley, robert p."	1	43	1.00
970	"gann, mareike a."	2	5	2.00
971	"gao, hao"	1	5	1.00
972	"garcia-marques, leonel"	1	0	1.00
973	"gardani, maria"	3	1	3.00
974	"gardner, paul l."	1	2	1.00
975	"gardner, tom"	1	21	1.00
976	"garrod, oliver"	3	28	3.00
977	"garrod, oliver g b"	1	0	1.00
978	"garrod, oliver g. b."	12	167	12.00
979	"garrod, simon"	1	10	1.00
980	"gaskell, m. g."	1	27	1.00
981	"gaunt, tom"	1	2	1.00
982	"gavves, efstratios"	1	1	1.00
983	"gazzaley, adam"	1	0	1.00
984	"geary, michael"	1	1	1.00
985	"gehrig, johannes"	1	8	1.00
986	"gelderblom, mathias"	1	0	1.00
987	"gensicke, henrik"	1	0	1.00
988	"gentleman, steve"	2	70	2.00
989	"genzel, lisa"	2	15	2.00
990	"george, jean-noel"	1	0	1.00
991	"gerlach, tanja m."	1	0	1.00
992	"gerloff, c."	1	3	1.00
993	"gerloff, christian"	29	306	29.00
994	"gherman, s."	1	1	1.00
995	"gherman, sabina"	1	42	1.00
996	"ghezzi, filippo"	1	2	1.00
997	"ghosh, boyd c. p."	1	8	1.00
998	"ghouri, nazim"	1	5	1.00
999	"giannadou, a."	1	2	1.00
1000	"giapitzakis, a."	1	25	1.00
1001	"giapitzakis, ioannis a."	1	3	1.00
1002	"giapitzakis, ioannis-angelos"	1	18	1.00
1003	"gibbs, julia r."	1	23	1.00
1004	"gibson, jamie"	1	3	1.00
1005	"giglio, laura"	1	3	1.00
1006	"gilam, gadi"	1	8	1.00
1007	"gill, j. m. r."	1	13	1.00
1008	"gill, jason m. r."	3	84	3.00
1009	"gill, kathryn"	1	8	1.00
1010	"gillies, martin j."	1	12	1.00
1011	"gillig, traci k."	2	15	2.00
1012	"gillingwater, thomas h."	1	50	1.00
1013	"gilmour, l."	2	17	2.00
1014	"gilmour, lesley"	2	13	2.00
1015	"ginty, david d."	2	101	2.00
1016	"giordano, bruno l."	4	141	4.00
1017	"giovanni, assenza"	1	54	1.00
1018	"giovannoni, gavin"	1	1	1.00
1019	"girges, christine"	3	7	3.00
1020	"glasmacher, stella a."	3	4	3.00
1021	"glen, daniel r."	2	42	2.00
1022	"gliva-mcconvey, gayle a."	1	52	1.00
1023	"glowinski, donald"	1	0	1.00
1024	"godoy, carlos g."	2	15	2.00
1025	"goebel, rainer"	6	41	6.00
1026	"goense, jozien"	8	272	7.00
1027	"goffin, luca"	1	0	1.00
1028	"gold, michael s."	1	15	1.00
1029	"goldfarb, mitchell"	1	0	1.00
1030	"goldstein, abraham"	1	9	1.00
1031	"goldstein, david"	2	21	2.00
1032	"gollwitzer, stephanie"	4	90	4.00
1033	"gomis, meritxell"	1	14	1.00
1034	"gomoiu, amalia"	2	4	2.00
1035	"gonen, tal"	1	8	1.00
1036	"gong, shiaoching"	1	58	1.00
1037	"gonzalez, rosario l."	1	17	1.00
1038	"gonzalez-castillo, javier"	1	141	1.00
1039	"goodwin, russell"	1	0	1.00
1040	"gordon, mark forrest"	2	25	2.00
1041	"gorrie, george"	2	4	2.00
1042	"gorrie, george h."	3	22	3.00
1043	"gosselin, frederic"	1	1	1.00
1044	"gosselink, mark w. j. m."	1	3	1.00
1045	"gould, k."	1	62	1.00
1046	"goulding, martyn"	1	58	1.00
1047	"goulding, martyn d."	1	25	1.00
1048	"goutcher, colin"	1	5	1.00
1049	"gouws, andre d."	1	6	1.00
1050	"goyal, m."	1	10	1.00
1051	"goyal, mayank"	26	511	26.00
1052	"gradwell, m. a."	1	17	1.00
1053	"gradwell, mark a."	2	43	2.00
1054	"grafton, scott t."	1	11	1.00
1055	"graham, b. a."	1	17	1.00
1056	"graham, brett a."	5	92	5.00
1057	"graham, nicholas"	1	29	1.00
1058	"graham, nicolas"	1	49	1.00
1059	"granot, roni y."	1	8	1.00
1060	"grasso, paolo a."	1	5	1.00
1061	"gratch, jonathan"	3	39	3.00
1062	"gravemeyer, jan"	1	23	1.00
1063	"gray, christopher h."	1	8	1.00
1064	"green, alexander l."	1	12	1.00
1065	"green, c. shawn"	1	2	1.00
1066	"green, shawn c."	1	5	1.00
1067	"gregson, barbara"	1	0	1.00
1068	"greinacher, robert"	1	28	1.00
1069	"grent-'t-jong, tineke"	13	154	13.00
1070	"grent-t-jong, tineke"	3	29	3.00
1071	"grey, dorian"	1	1	1.00
1072	"grieves, roddy"	1	1	1.00
1073	"grieves, roddy m"	1	1	1.00
1074	"grieves, roddy m."	5	145	5.00
1075	"griffin, jacob"	1	31	1.00
1076	"griffin, jacqueline"	3	13	3.00
1077	"griffiths, benjamin"	2	36	2.00
1078	"griffiths, benjamin j"	1	0	1.00
1079	"griffiths, benjamin j."	4	65	4.00
1080	"griffiths, benjamin james"	1	49	1.00
1081	"griffiths, lyn r."	1	31	1.00
1082	"grinshpoon, alexander"	1	9	1.00
1083	"groen, iris. i. a."	1	0	1.00
1084	"grond, martin"	1	1	1.00
1085	"grosbras, m. h."	1	5	1.00
1086	"grosch, anne sophie"	1	6	1.00
1087	"gross, joachim"	41	915	41.00
1088	"grosset, d. g."	1	1	1.00
1089	"grosset, donald"	4	83	4.00
1090	"grosset, donald g."	30	444	30.00
1091	"grosset, katherine"	3	69	3.00
1092	"grosset, katherine a."	11	247	11.00
1093	"grotta, james c."	1	9	1.00
1094	"grube, michael"	1	4	1.00
1095	"grydeland, hakon"	1	31	1.00
1096	"guan, debao"	1	5	1.00
1097	"gubitz, gord"	1	7	1.00
1098	"guenther, matthias"	4	19	4.00
1099	"guerra, andrea"	2	72	2.00
1100	"guetterman, timothy c."	1	52	1.00
1101	"guidi, maria"	1	141	1.00
1102	"guilfoyle, mathew r."	1	13	1.00
1103	"guillemin, francis"	21	464	21.00
1104	"guillot, aymeric"	1	8	1.00
1105	"guimond, scott e."	1	12	1.00
1106	"gulban, omer faruk"	1	10	1.00
1107	"gumley, andrew"	2	42	2.00
1108	"gumley, andrew i."	11	73	11.00
1109	"gumley, andrew, i"	4	104	4.00
1110	"gunamony, shajan"	1	2	1.00
1111	"guo, tong"	2	3	2.00
1112	"guo, wanying"	1	0	1.00
1113	"guo, yibing"	1	26	1.00
1114	"gurevich, tanya"	1	16	1.00
1115	"gutierrez-mecinas, maria"	13	208	13.00
1116	"habekost, julika"	1	1	1.00
1117	"habib, abdullah"	2	58	2.00
1118	"hachisuka, junichi"	9	152	9.00
1119	"hagberg, g. e."	1	27	1.00
1120	"hagoort, peter"	1	3	1.00
1121	"hague, william m."	1	1	1.00
1122	"hahn, amanda"	1	5	1.00
1123	"hahn, amanda c."	25	464	25.00
1124	"hahne, amanda c."	1	16	1.00
1125	"haining, kate"	6	17	6.00
1126	"hair, mario"	1	1	1.00
1127	"hall, andrew"	1	141	1.00
1128	"hall, lynsey"	1	1	1.00
1129	"hallett, mark"	1	165	1.00
1130	"hamel, katherine"	1	3	1.00
1131	"hamer, hajo"	4	90	4.00
1132	"hamilton, antonia f. de c."	1	11	1.00
1133	"hamnett, hilary j."	1	6	1.00
1134	"han, chengyang"	9	201	9.00
1135	"hand, christopher j."	3	37	3.00
1136	"handel, adam"	1	31	1.00
1137	"handwerker, daniel a."	3	174	3.00
1138	"hankey, graeme j."	1	16	1.00
1139	"hanley, daniel f."	3	29	3.00
1140	"hansen, florian"	1	2	1.00
1141	"hanslmayr, simon"	37	610	37.00
1142	"haque, hamed"	1	4	1.00
1143	"hardstone, richard"	1	42	1.00
1144	"hardy, john"	6	149	6.00
1145	"harkki, juliana"	1	6	1.00
1146	"harms, matthew b."	2	21	2.00
1147	"harnisch, lutz o."	1	0	1.00
1148	"harold, alexis"	1	23	1.00
1149	"harrington, mary e."	1	8	1.00
1150	"harris, adam"	1	9	1.00
1151	"harris, leanne"	1	58	1.00
1152	"harris-birtill, david"	1	0	1.00
1153	"harston, george w. j."	1	2	1.00
1154	"hart, robert g."	3	33	3.00
1155	"harteveld, casper"	2	8	2.00
1156	"harvey, adam"	1	15	1.00
1157	"harvey, adam p."	1	21	1.00
1158	"harvey, ben m."	3	42	3.00
1159	"harvey, m."	1	5	1.00
1160	"harvey, monika"	14	146	14.00
1161	"harvey, monilza"	1	9	1.00
1162	"hashem, ryman"	1	0	1.00
1163	"hatch, robert j."	1	20	1.00
1164	"hatton, rosalind elizabeth mcbean"	4	29	4.00
1165	"haueisen, jens"	1	29	1.00
1166	"hauk, olaf"	1	0	1.00
1167	"haupt, larisa m."	1	31	1.00
1168	"havard, david"	2	12	2.00
1169	"havard, diane"	1	2	1.00
1170	"havron, naomi"	1	5	1.00
1171	"hawkins, penny"	1	15	1.00
1172	"hawkins, roxanne d"	1	0	1.00
1173	"hazen, kirk"	1	0	1.00
1174	"he, bin"	1	84	1.00
1175	"heath, florence"	1	83	1.00
1176	"hebert, harry l."	1	51	1.00
1177	"heesen, christoph"	1	11	1.00
1178	"heggie, robert"	1	8	1.00
1179	"hehir, jason"	1	43	1.00
1180	"heidegger, tonio"	1	27	1.00
1181	"heidemann, robin m."	1	2	1.00
1182	"heidemann, robin martin"	1	1	1.00
1183	"heintz, nathaniel"	1	58	1.00
1184	"hekele, felix"	1	47	1.00
1185	"helbling, saskia"	1	9	1.00
1186	"hemforth, barbara"	2	6	2.00
1187	"henderson, emma l"	1	6	1.00
1188	"henderson, l. m."	1	27	1.00
1189	"hendler, talma"	1	11	1.00
1190	"hendriks, arjan d."	1	3	1.00
1191	"hendry, hannah"	1	5	1.00
1192	"henning, a."	1	25	1.00
1193	"henning, anke"	2	21	2.00
1194	"henrich-noack, petra"	1	29	1.00
1195	"henriques, alexa"	1	11	1.00
1196	"henry, joseph"	1	12	1.00
1197	"henschel, anna"	4	44	4.00
1198	"hensel, bernhard"	2	3	2.00
1199	"hensel, laura b."	1	0	1.00
1200	"henson, richard n."	1	16	1.00
1201	"henstridge, christopher m."	1	50	1.00
1202	"herau, marine"	1	19	1.00
1203	"herbert, c."	1	27	1.00
1204	"heron, suzanne"	1	1	1.00
1205	"herrler, jurgen"	1	2	1.00
1206	"herrmann, christoph s."	2	40	2.00
1207	"herrmannm, christoph s."	1	140	1.00
1208	"heshmatollah, a."	1	10	1.00
1209	"heslegrave, amanda j."	2	3	2.00
1210	"heyman, tom"	1	11	1.00
1211	"heyselaar, evelien"	2	198	2.00
1212	"hibbert, m."	1	9	1.00
1213	"hilbert, adam"	1	0	1.00
1214	"hilgetag, claus c."	1	3	1.00
1215	"hill, derek"	3	79	3.00
1216	"hill, loron"	1	1	1.00
1217	"hill, m. d."	1	10	1.00
1218	"hill, michael d"	2	0	2.00
1219	"hill, michael d."	21	476	21.00
1220	"hinman, jason d."	1	42	1.00
1221	"hintz, florian"	1	7	1.00
1222	"hirano, yoji"	2	11	2.00
1223	"hirvonen, j."	1	20	1.00
1224	"hirvonen, jonni"	2	39	2.00
1225	"hockley, james r. f."	1	30	1.00
1226	"hoffmann, j."	1	25	1.00
1227	"hoffmann, michael b."	2	19	2.00
1228	"hoinkiss, daniel christopher"	4	18	4.00
1229	"hok, pavel"	1	8	1.00
1230	"hok, vincent"	1	20	1.00
1231	"holeniewska, joanna"	1	9	1.00
1232	"holle, henning"	1	1	1.00
1233	"holmes, m."	1	9	1.00
1234	"holmes, w. m."	3	17	3.00
1235	"holmes, william"	1	5	1.00
1236	"holmes, william m."	12	88	12.00
1237	"holmes, william matthew"	1	0	1.00
1238	"holodinsky, jessalyn k."	1	37	1.00
1239	"holton, janice l."	1	8	1.00
1240	"holtzman, david"	1	54	1.00
1241	"holzleitner, iris"	1	4	1.00
1242	"holzleitner, iris j."	18	274	18.00
1243	"hoon, mark a."	2	130	2.00
1244	"horlin, chiara"	2	28	2.00
1245	"horsburgh, karen"	1	13	1.00
1246	"hortensius, ruud"	9	169	9.00
1247	"hosseinzadeh, sara"	1	3	1.00
1248	"hostettler, i. c."	1	3	1.00
1249	"hostettler, isabel c."	3	8	3.00
1250	"hostettler, isabel charlotte"	6	21	6.00
1251	"hou, bob"	1	0	1.00
1252	"hough, d."	1	10	1.00
1253	"houlden, h."	1	3	1.00
1254	"houlden, henry"	16	91	16.00
1255	"houston, graeme"	1	18	1.00
1256	"houtman, simon j."	1	42	1.00
1257	"hoving, jan w."	1	43	1.00
1258	"howell, julian"	1	46	1.00
1259	"hsieh, te-yi"	5	6	5.00
1260	"hu, michele t."	6	72	6.00
1261	"hu, michele t. m."	1	77	1.00
1262	"hu, michele tao-ming"	1	1	1.00
1263	"hu, yanhua"	1	15	1.00
1264	"hua, lingling"	2	15	2.00
1265	"huang, jing"	2	130	2.00
1266	"huang, xuya"	7	83	7.00
1267	"huang, yunying"	1	3	1.00
1268	"hubbard, leon"	4	100	4.00
1269	"huber (renzo), laurentius"	1	32	1.00
1270	"huber, laurentius"	1	141	1.00
1271	"huber, laurentius (renzo)"	1	10	1.00
1272	"hudson, a."	1	9	1.00
1273	"hudson, brian d."	1	2	1.00
1274	"huesa, carmen"	1	0	1.00
1275	"huettig, falk"	10	305	10.00
1276	"hughes, colin"	1	4	1.00
1277	"hughes, d. i."	1	17	1.00
1278	"hughes, david i."	5	79	5.00
1279	"hughes, david, i"	4	84	4.00
1280	"hughes, m."	1	2	1.00
1281	"hughes, tom a. t."	1	25	1.00
1282	"hui, jeanette"	1	133	1.00
1283	"huisman, gijs"	1	1	1.00
1284	"hulme, c. h."	1	34	1.00
1285	"hulme, charlotte h."	1	0	1.00
1286	"hummel, friedhelm c."	1	165	1.00
1287	"hunink, myriam g."	2	49	2.00
1288	"hunold, alexander"	1	29	1.00
1289	"huotari, niko"	1	11	1.00
1290	"hurford, robert"	1	25	1.00
1291	"hurley, samuel a."	1	83	1.00
1292	"husband, e. matthew"	2	198	2.00
1293	"hutchison, jacqui"	3	31	3.00
1294	"huttunen, henri j."	2	9	2.00
1295	"iachini, t."	1	18	1.00
1296	"iadecola, costantino"	1	27	1.00
1297	"ibinson, james"	1	0	1.00
1298	"ichiyama, ronaldo m."	1	15	1.00
1299	"ietswaart, magdalena"	1	8	1.00
1300	"iida, fumiya"	1	0	1.00
1301	"ijzerman, hans"	1	73	1.00
1302	"ilie, andrei-sorin"	1	16	1.00
1303	"ilmoniemi, risto j."	1	133	1.00
1304	"imam, syed"	2	25	2.00
1305	"imhof, saskia m."	1	4	1.00
1306	"imperatori, laura sophie"	1	7	1.00
1307	"inc, robin a. a."	1	5	1.00
1308	"ince, robin"	1	2	1.00
1309	"ince, robin a. a."	29	412	28.00
1310	"ingram, joanne"	1	1	1.00
1311	"ingram, martin"	2	4	2.00
1312	"ingwersen, thies"	2	6	2.00
1313	"inman, cory s."	1	82	1.00
1314	"innes, karen"	1	14	1.00
1315	"iqbal, noor-ul-aine"	1	58	1.00
1316	"irion, catherine"	1	6	1.00
1317	"irvine, c."	1	2	1.00
1318	"irwin, a."	1	2	1.00
1319	"irwin, amy"	2	50	2.00
1320	"isaksson, petrus"	1	9	1.00
1321	"isgum, ivana"	1	1	1.00
1322	"ishag, adil"	2	18	2.00
1323	"ismail, khalida"	1	4	1.00
1324	"ismakov, revekka"	1	32	1.00
1325	"ito, aine"	2	198	2.00
1326	"ivanov, dimo"	2	173	2.00
1327	"ives, n."	1	2	1.00
1328	"ives, natalie"	1	14	1.00
1329	"ivory, james d."	1	73	1.00
1330	"ivory, lucy"	1	11	1.00
1331	"ivry, richard b."	1	4	1.00
1332	"iwagaki, noboru"	3	166	3.00
1333	"jabbari, edwin"	2	10	2.00
1334	"jack, clifford r."	1	54	1.00
1335	"jack, rachael"	1	2	1.00
1336	"jack, rachael e."	17	281	17.00
1337	"jackson, catherine"	1	15	1.00
1338	"jackson, elaine"	1	0	1.00
1339	"jackson, hazel"	1	18	1.00
1340	"jacob, pierre-yves"	1	26	1.00
1341	"jacobs, pierre-yves"	1	81	1.00
1342	"jacobsen, nadine"	1	20	1.00
1343	"jadhav, ashutosh p."	1	2	1.00
1344	"jaeger, hans r."	1	0	1.00
1345	"jaeger, hans rolf"	3	8	3.00
1346	"jager, h. r."	3	15	3.00
1347	"jager, hans rolf"	8	100	8.00
1348	"jager, hans rudolf"	1	0	1.00
1349	"jager, rolf"	2	4	2.00
1350	"jahan, reza"	2	152	2.00
