id	author	documents	total link strength
924	"lou, b."	1	3
925	"lou, h.c."	1	7
926	"love, s.a."	2	8
927	"loveridge, f."	1	12
928	"lowe, s.c."	1	4
929	"lu, y."	1	11
930	"lucas, g."	6	78
931	"lucas, g.m."	2	6
932	"luijten, p.r."	6	35
933	"luo, c."	1	4
934	"lyall, d."	1	10
935	"lyall, d.m."	3	41
936	"lyall, l.m."	2	31
937	"lynch, k."	2	8
938	"lyon, h."	1	15
939	"lypson, m.l."	1	16
940	"làdavas, e."	1	5
941	"löfroth, h."	1	10
942	"lüchinger, c."	1	3
943	"lüdemann, l."	1	5
944	"m. m. emraja, a."	1	5
945	"ma, m."	4	12
946	"maakrun, j."	4	32
947	"maaß, m."	1	5
948	"mackay, d."	4	52
949	"mackay, d.f."	2	19
950	"macke, j.h."	1	3
951	"mackenzie, i.g."	1	4
952	"mackinnon, g."	2	14
953	"maclaren, d.a."	1	5
954	"macleod, m.r."	1	8
955	"macmahon, k."	1	5
956	"macmahon, k.m.a."	1	5
957	"macrae, i.m."	6	40
958	"madden, j.f."	2	11
959	"madec, s."	1	8
960	"maguire, j."	2	3
961	"mahrholz, g."	1	2
962	"makeig, s."	1	4
963	"malapert, p."	1	20
964	"malcolm, g.l."	2	3
965	"malomgré, r."	1	11
966	"maloney, l.t."	1	2
967	"mandl, r.c.w."	1	7
968	"mangrulkar, r.s."	1	16
969	"manoach, d.s."	2	11
970	"marano, m."	2	24
971	"marchiori, d."	3	5
972	"marcinkowska, u.m."	2	7
973	"marcoux, k."	1	4
974	"marin, a."	1	8
975	"marinazzo, d."	1	7
976	"mariotti, m."	1	12
977	"marques, j.p."	2	12
978	"marrett, s."	1	12
979	"marschark, m."	1	4
980	"marsella, s."	41	169
981	"marsella, s.c."	4	21
982	"marshall, i."	1	8
983	"martin, j.d."	1	5
984	"martin, m."	1	1
985	"martin, m.s."	1	4
986	"martin, p.-y."	1	6
987	"martinez, a.m."	1	4
988	"martuzzi, r."	1	5
989	"martín, m.d.m.b."	1	8
990	"massimini, m."	1	12
991	"matias palva, j."	2	15
992	"matrunola, c."	1	9
993	"matsuoka, y."	1	5
994	"matusz, p.j."	1	5
995	"mauguière, f."	2	27
996	"maurer, k."	1	7
997	"maxwell, d.j."	8	21
998	"may, e.s."	4	29
999	"mazaheri, a."	1	3
1000	"mcaleer, p."	11	46
1001	"mcarthur, d."	1	23
1002	"mcbride, n."	1	4
1003	"mccabe, c."	7	47
1004	"mccallum, s."	2	6
1005	"mccann, s.k."	2	18
1006	"mccarty, k."	3	30
1007	"mccoll, a."	1	6
1008	"mcconnell, p."	1	23
1009	"mcdonald, l."	1	23
1010	"mcdonald, m."	2	9
1011	"mcgregor, f."	2	32
1012	"mcgruer, f."	1	4
1013	"mcintosh, a.m."	1	17
1014	"mcintosh, r.d."	1	6
1015	"mckay, l.s."	1	2
1016	"mckernan-ward, l."	1	14
1017	"mckinley, j.m."	1	7
1018	"mckinnon, h.j."	1	23
1019	"mclaren, j."	1	4
1020	"mclaughlin, m."	1	8
1021	"mcleod, d.d."	2	18
1022	"mcmichael, j."	1	7
1023	"mcmillan, t.m."	2	8
1024	"mcneilly, s."	1	11
1025	"mcvie, a."	1	14
1026	"mehemed, t.m."	1	7
1027	"melcher, d."	3	5
1028	"mellor, d.j."	1	4
1029	"melville, c."	1	3
1030	"merrifield, g.d."	2	12
1031	"metsäranta, m."	2	10
1032	"mezna, m."	1	23
1033	"michel, c."	1	9
1034	"michel, c.m."	1	7
1035	"mikanmaa, e."	1	5
1036	"milidonis, x."	1	8
1037	"miller, a.m."	1	7
1038	"miller, c."	1	3
1039	"miller, k.l."	2	9
1040	"miller, l.c."	2	8
1041	"miller, r.h."	1	9
1042	"miller, s.r."	1	3
1043	"millett, d.t."	1	7
1044	"mills, r."	2	24
1045	"milne, e."	1	1
1046	"minarikova, l."	1	10
1047	"miniussi, c."	3	18
1048	"mishra, s.k."	2	28
1049	"mitchell, e.j."	4	10
1050	"mitchell, l."	1	9
1051	"mitoma, c."	1	11
1052	"miyakoshi, m."	1	4
1053	"miyamoto, s."	1	9
1054	"mohaddesi, o."	1	10
1055	"molholm, s."	1	3
1056	"molyneux, p.c."	1	5
1057	"monaco, s."	1	6
1058	"monteith, d.t."	1	7
1059	"monto, s."	1	7
1060	"mooney, n."	1	7
1061	"moore, f.r."	1	8
1062	"moos, a."	2	5
1063	"moqrich, a."	1	20
1064	"morales-celis, c.a."	1	9
1065	"morales-muñoz, i."	1	4
1066	"morand, s."	2	11
1067	"morand, s.m."	1	2
1068	"morbini, f."	4	60
1069	"morency, l.-p."	6	74
1070	"morfiri, e."	2	8
1071	"morisawa, n."	1	7
1072	"moroi, y."	1	8
1073	"morris, b."	1	2
1074	"morris, b.j."	11	46
1075	"morrison, d."	2	17
1076	"morrison, d.k."	2	17
1077	"mosha, n."	1	1
1078	"moshfeghi, y."	4	10
1079	"mouridsen, k."	1	7
1080	"mouzakitis, a."	2	11
1081	"moxey, l."	4	10
1082	"moxey, l.m."	1	0
1083	"muckli, l."	16	47
1084	"mueller, s."	1	8
1085	"muir, g.k.p."	2	14
1086	"muir, k."	1	14
1087	"muir, k.w."	2	15
1088	"mullen, c."	2	5
1089	"mullin, j."	3	18
1090	"mullin, j.m."	5	46
1091	"mullinger, k."	1	3
1092	"mullinger, k.j."	1	4
1093	"murchie, p."	1	5
1094	"murphy, h."	1	9
1095	"murray, k.n."	1	6
1096	"murray, l.s."	1	11
1097	"murray, m.m."	2	8
1098	"murrie, m."	1	5
1099	"murtha, l.a."	2	18
1100	"mustapa, m."	1	6
1101	"myachykov, a."	6	16
1102	"märker, g."	2	11
1103	"ménard, c."	1	7
1104	"mézière, d."	1	22
1105	"möller, h.e."	2	18
1106	"müller, n."	1	3
1107	"naber, m."	1	6
1108	"nagase, h."	1	19
1109	"nagy, a."	1	8
1110	"nakahara, t."	4	38
1111	"nakasato, n."	2	27
1112	"narizzano, m."	1	4
1113	"navarro-batista, k."	1	8
1114	"nazarian, a."	3	47
1115	"neary, c."	1	4
1116	"neef, n."	1	10
1117	"newitt, d.n."	1	8
1118	"nguyen, q.a.-t."	3	24
1119	"nguyena, q.a.-t."	1	8
1120	"nichols, t.e."	1	3
1121	"nickel, m.m."	4	29
1122	"nicklin, s.a."	1	7
1123	"niedenthal, p.m."	1	5
1124	"niedzwiedz, c.l."	1	17
1125	"nieuwland, m.s."	1	22
1126	"nijboer, t.c.w."	1	3
1127	"nikitova, n."	1	4
1128	"nikkinen, j."	2	18
1129	"nikolova, n."	1	11
1130	"nitsche, m.a."	1	19
1131	"nixon, c."	2	32
1132	"nobili, l."	4	25
1133	"noble, k."	2	14
1134	"nobre, a.c."	1	5
1135	"nordmann, e."	5	13
1136	"noveck, i."	1	4
1137	"nuthmann, a."	1	2
1138	"o'connor, e."	1	7
1139	"o'connor, j.j."	1	5
1140	"o'connor, j.j.m."	2	15
1141	"o'donnell, p.j."	3	11
1142	"o'neill, b."	3	12
1143	"o'neill, p."	1	8
1144	"o'shea, k.j."	2	8
1145	"ocakoglu, g."	1	6
1146	"ochs, m."	1	3
1147	"oh, h."	4	32
1148	"okada, t."	2	16
1149	"okano, h."	1	13
1150	"oliveri, m."	1	3
1151	"olson, m.f."	1	23
1152	"omori, y."	3	15
1153	"onken, a."	1	4
1154	"oosterhof, n.n."	1	2
1155	"openshaw, r.l."	2	10
1156	"ordqvist, a."	2	15
1157	"orenes, i."	1	3
1158	"orr, d.p.h."	1	14
1159	"ostafin, b.d."	1	5
1160	"over, h."	1	2
1161	"owen, r.h.l."	1	1
1162	"ozmen, e."	1	6
1163	"o’donnell, c."	1	4
1164	"o’donnell, p.j."	1	4
1165	"o’shea, k.j."	1	13
1166	"pachai, m.v."	1	4
1167	"padilla, m.a."	1	16
1168	"paffen, c.l.e."	1	5
1169	"paine, s."	2	32
1170	"palasis, s."	1	5
1171	"pallesen, k.j."	1	5
1172	"palva, j.m."	28	114
1173	"palva, m.j."	1	3
1174	"palva, s."	27	94
1175	"palva, s.o."	1	7
1176	"panniello, m."	1	4
1177	"pantiru, a."	1	8
1178	"panzeri, s."	7	33
1179	"paolucci, m."	2	24
1180	"papies, e.k."	26	60
1181	"park, c.s."	1	7
1182	"park, h."	5	22
1183	"parker, k."	1	7
1184	"parkes, l.m."	1	6
1185	"parry-jones, a.r."	1	6
1186	"parsons, r."	1	4
1187	"pascalis, o."	1	5
1188	"pascual-leone, a."	3	44
1189	"pasi, g."	1	5
1190	"paterson, g."	1	4
1191	"paterson, h.m."	1	3
1192	"paton, a.t."	1	2
1193	"paulsen, o."	2	8
1194	"paulus, w.j."	1	19
1195	"pawlikowski, j.s."	2	32
1196	"pecune, f."	1	3
1197	"pekkola, j."	1	3
1198	"pelachaud, c."	3	8
1199	"peled, a."	1	11
1200	"pell, j.p."	6	71
1201	"pellicciari, m.c."	1	21
1202	"pellinen, p."	1	4
1203	"penfield, k."	1	9
1204	"penninger, j.m."	2	10
1205	"penny, w."	1	7
1206	"pepperall, d."	2	18
1207	"perez-berezo, t."	1	20
1208	"perlis, m.l."	1	4
1209	"pernet, c.r."	6	27
1210	"perrett, d.i."	3	15
1211	"petkoski, s."	1	2
1212	"petridou, n."	9	45
1213	"petrie, m."	2	11
1214	"petrini, k."	6	19
1215	"petro, l.s."	10	24
1216	"petrou, s."	1	11
1217	"petrovic, p."	1	9
1218	"philiastides, m.g."	13	37
1219	"phillips, a.m."	1	11
1220	"phillips, i."	1	2
1221	"phillips, k.g."	1	1
1222	"phipps, a."	1	4
1223	"phoenix, v.r."	4	13
1224	"piacentini, t."	1	4
1225	"picazio, s."	1	6
1226	"pickering, m.j."	5	6
1227	"pigorini, a."	1	12
1228	"pike, g."	1	3
1229	"pinker, k."	1	10
1230	"pisanski, k."	5	32
1231	"pisauro, m.a."	1	3
1232	"piwek, l."	4	10
1233	"pizzi, r."	1	6
1234	"ploner, m."	5	31
1235	"pokhoday, m."	1	3
1236	"polgar, e."	1	5
1237	"polgár, e."	15	143
1238	"politis, i."	4	8
1239	"politzer-ahles, s."	1	22
1240	"pollak, s.d."	1	4
1241	"pollick, f."	17	51
1242	"pollick, f.e."	17	64
1243	"pollok, b."	1	7
1244	"ponzo, v."	1	6
1245	"popivanov, i.d."	1	2
1246	"porro, g.l."	2	9
1247	"porter, d."	4	26
1248	"porter, d.a."	17	89
1249	"poser, b.a."	1	12
1250	"postma, a."	1	6
1251	"postorino, m."	2	15
1252	"potjes, i."	1	4
1253	"powrie, w."	1	7
1254	"poyade, m."	2	4
1255	"pozniak, c."	2	4
1256	"pratt, j."	1	5
1257	"pratt, j.a."	11	43
1258	"premoli, i."	1	21
1259	"press, d.z."	1	2
1260	"preusche, a."	1	7
1261	"prinz, w."	1	4
1262	"pronk, t.m."	1	3
1263	"proserpio, p."	1	12
1264	"proulx, m.j."	1	3
1265	"puce, a."	2	27
1266	"pujo, j."	1	20
1267	"puoliväli, t."	2	10
1268	"pynadath, d.v."	4	9
1269	"qaisi, a.h."	1	23
1270	"queirazza, f."	2	6
1271	"quigley, k.s."	1	7
1272	"raballo, a."	1	9
1273	"raemaekers, m."	1	6
1274	"raffray, c.n."	1	2
1275	"rahman, m.m."	1	2
1276	"raja, e.a."	1	5
1277	"rajji, t."	1	21
1278	"ramon, m."	1	4
1279	"ramsey, r."	3	9
1280	"randall, a.d."	1	14
1281	"ranieri, f."	2	24
1282	"rasmussen, s."	2	7
1283	"rauch, a."	3	10
1284	"ravenet, b."	1	3
1285	"re, d.e."	1	4
1286	"reason, m."	2	11
1287	"recasens, m."	5	21
1288	"reeves, i."	1	14
1289	"rehman, a."	2	7
1290	"rehner, p."	1	1
1291	"reid, c."	1	7
1292	"reid, c.a."	1	11
1293	"reid, e."	1	7
1294	"reimer, e."	1	10
1295	"reis, j."	1	19
1296	"remes, j."	1	11
1297	"retzler, c."	4	12
1298	"revina, y."	2	11
1299	"rey, a."	1	8
1300	"reynolds, d."	1	7
1301	"richard koerber, h."	1	5
1302	"richardson, r."	1	11
1303	"richmond, a."	2	32
1304	"richoz, a.-r."	1	4
1305	"riddell, j.s."	9	86
1306	"rimmele, j.m."	1	3
1307	"rivera, n."	1	4
1308	"rivolta, d."	4	37
1309	"rizzo, a."	4	60
1310	"rizzo, s."	1	12
1311	"riès, s.k."	1	8
1312	"roberts, m."	1	14
1313	"roberts, s.c."	4	31
1314	"robertson, a.e."	2	2
1315	"robertson, c.a."	1	8
1316	"robertson, e.m."	15	52
1317	"robinson, j.e."	1	8
1318	"roelofzen, c."	1	6
1319	"rogasch, n.c."	1	21
1320	"rogers, j."	1	2
1321	"rogers, n."	1	8
1322	"rolland, c."	1	20
1323	"romani, g.-l."	2	27
1324	"romei, v."	4	16
1325	"rosanova, m."	1	12
1326	"rosenbloom, p.s."	1	2
1327	"ross, p.d."	1	4
1328	"ross, s.e."	10	54
1329	"rossit, s."	2	20
1330	"rotarska-jagiela, a."	1	7
1331	"rothwell, j.c."	1	19
1332	"rouhinen, s."	1	4
1333	"roumeli, e."	1	8
1334	"rousselet, g."	1	8
1335	"rousselet, g.a."	13	64
1336	"roux, f."	3	7
1337	"roy, l.a."	2	12
1338	"rueschemeyer, s.-a."	1	22
1339	"ruggiero, g."	1	6
1340	"ruhrmann, s."	1	9
1341	"ruotolo, f."	1	6
1342	"russell, k."	2	7
1343	"rychlowska, m."	1	5
1344	"rytky, s."	1	7
1345	"röder, s."	2	15
1346	"rösler, f."	1	3
1347	"saarela, v."	1	10
1348	"sachdev, r.n.s."	1	3
1349	"sack, a.t."	1	11
1350	"sajda, p."	2	5
1351	"sallard, e."	2	8
1352	"salomone, g."	2	24
1353	"salvia, e."	1	6
1354	"sami, s."	1	2
1355	"sandberg, k."	1	7
1356	"sanders, l.l."	1	2
1357	"sandrini, m."	1	19
1358	"santamaría, c."	1	3
1359	"santarnecchi, e."	1	19
1360	"santosh, c."	2	13
1361	"sapere, p."	1	4
1362	"sarasso, s."	1	12
1363	"saroglou, h."	1	10
1364	"sauer, a."	4	36
1365	"sauer, e."	1	4
1366	"savage, s."	1	19
1367	"savazzi, s."	2	10
1368	"scerbo, m.w."	1	16
1369	"schaafs, l.-a."	1	4
1370	"schambra, h.m."	1	19
1371	"schaum, m."	2	18
1372	"scheel, a."	1	1
1373	"scheepers, c."	19	45
1374	"scheller, b."	2	19
1375	"scherer, s."	5	72
1376	"schleicher, l.s."	1	16
1377	"schlitt, s."	1	10
1378	"schmidt, p."	2	15
1379	"schmidt, s.j."	1	9
1380	"schnitzler, a."	4	38
1381	"schoffelen, j.-m."	3	12
1382	"scholte, s.h."	1	4
1383	"schroeder, c.e."	1	3
1384	"schröder, t.n."	1	13
1385	"schultze-lutter, f."	3	31
1386	"schulz, e."	1	8
1387	"schwannauer, m."	4	38
1388	"schwartz, e.s."	1	19
1389	"schwarzer, c."	1	19
1390	"schwinghammer, s."	1	4
1391	"schyns, p."	2	6
1392	"schyns, p.g."	28	98
1393	"schüttelkopf, a.w."	1	23
1394	"scott, g.g."	4	15
1395	"scott, h."	2	2
1396	"segaert, k."	1	22
1397	"seif el-nasr, m."	1	4
1398	"sekuler, a.b."	2	7
1399	"selvadurai, c."	1	8
1400	"sena, e.s."	1	8
1401	"sequeira, p."	3	16
1402	"sereno, s.c."	6	23
1403	"seymour, p.a."	1	14
1404	"shahid, a."	2	8
1405	"shahzad, m."	1	8
1406	"shakeri, g."	1	6
1407	"shapiro, a."	2	11
1408	"shaw, m."	1	5
1409	"sheahan, t.d."	1	2
1410	"sheaves, b."	1	5
1411	"sheeran, p."	1	6
1412	"shehab, s.a.s."	1	4
1413	"shen, s."	1	14
1414	"shepherd, f."	1	6
1415	"shimmield, t.m."	1	3
1416	"shimoda, s."	1	6
1417	"shipton, o.a."	1	6
1418	"shiramizu, v.k.m."	1	3
1419	"shiratori-hayashi, m."	1	13
1420	"shtyrov, y."	2	6
1421	"shukla, m.n."	2	7
1422	"si, m."	2	3
1423	"sidner, c."	1	2
1424	"siebenhühner, f."	5	20
1425	"siebert, j.p."	1	7
1426	"siebner, h.r."	1	11
1427	"siero, j.c.w."	1	4
1428	"siljehav, j."	1	9
1429	"silvanto, j."	1	2
1430	"silverstein, s.m."	1	4
1431	"sime, m."	1	23
1432	"simeonov, a."	1	7
1433	"simmons, d."	5	9
1434	"simmons, d.r."	6	13
1435	"simmons, w.k."	1	4
1436	"simms, k."	1	2
1437	"simola, j."	1	4
1438	"singer, w."	9	74
1439	"singh, k.d."	1	5
1440	"siriwardena, n."	1	7
1441	"sivakumar, v."	2	5
1442	"skene, w.a."	1	4
1443	"skrypchuk, l."	2	11
1444	"slagter, h.a."	1	3
1445	"slavich, g.m."	1	4
1446	"sloan, w.t."	2	6
1447	"smeets, p.a.m."	1	3
1448	"smethurst, j."	1	12
1449	"smethurst, j.a."	1	10
1450	"smith, a."	1	10
1451	"smith, d.j."	4	52
1452	"smith, e.s.j."	1	20
1453	"smith, f.w."	2	9
1454	"smith, i.p."	5	18
1455	"smith, k.m."	4	28
1456	"smith, r."	2	5
1457	"smith, t.a."	1	3
1458	"snagg, a."	1	3
1459	"snowden, j."	1	2
1460	"snyder, l.m."	3	29
1461	"sobieraj, s."	1	4
1462	"soekadar, s.r."	1	11
1463	"solinski, h.j."	2	28
1464	"son, y.h."	1	7
1465	"song, b.j."	1	7
1466	"sorg, c."	1	2
1467	"sosnowska, a."	1	3
1468	"spence, d."	1	3
1469	"spiegelhalder, k."	1	5
1470	"spliet, w."	2	14
1471	"spliet, w.g.m."	1	6
1472	"spratt, n.j."	2	18
1473	"springman, s.m."	1	10
1474	"stack, n."	8	41
1475	"starck, t."	1	11
1476	"stawowsky, c."	1	12
1477	"steell, l."	1	10
1478	"stefanov, k."	2	7
1479	"steinhausen, c."	1	7
1480	"stemmer, a."	2	12
1481	"steponenaite, a."	1	2
1482	"sterzer, p."	1	9
1483	"stevens, c.j."	1	5
1484	"stewart, w."	1	7
1485	"stickgold, r."	2	11
1486	"stierle, r."	1	7
1487	"stirling, r."	1	12
1488	"stjerna, s."	2	10
1489	"stoet, g."	4	14
1490	"strathdee, k."	1	23
1491	"stratou, g."	5	72
1492	"strawbridge, r.j."	2	31
1493	"strick, m."	1	1
1494	"stroebe, w."	5	12
1495	"strüber, d."	1	3
1496	"sturm, v."	1	7
1497	"sturt, p."	1	1
1498	"stüber, c."	1	12
1499	"subramaniam, v."	2	24
1500	"suma, e."	1	6
1501	"sumanapala, d.k."	1	3
1502	"sun, w."	1	4
1503	"sun, y."	1	10
1504	"suominen, k."	1	11
1505	"suri, a."	1	21
1506	"sutherland, c.a.m."	1	2
1507	"sutherland, m."	6	36
1508	"swoboda, n."	2	9
1509	"szymanek, l."	2	20
1510	"szymanski, c."	1	12
1511	"söhner, a."	1	5
1512	"südmeyer, m."	1	7
1513	"ta dinh, s."	3	21
1514	"tadros, m.a."	2	9
1515	"tae, h.-s."	1	11
1516	"tagliabue, c.f."	3	16
1517	"takacs, a."	1	1
1518	"takahara, m."	2	19
1519	"tallet, j."	2	8
1520	"tamariz, m."	1	3
1521	"tan, a."	2	24
1522	"tan, h."	1	4
1523	"tan, h.-r.m."	2	4
1524	"tan, t."	2	12
1525	"tanenhaus, m.k."	1	5
1526	"tang, j."	1	5
1527	"tanji, m."	1	9
1528	"taulu, s."	2	27
1529	"taylor, p.c."	1	1
1530	"taylor, r."	1	8
1531	"te pas, s.f."	1	5
1532	"tervonen, o."	2	18
1533	"terzis, a."	2	12
1534	"thanarajah, s.e."	1	7
1535	"thangarajah, j."	1	3
1536	"thelen, a."	1	5
1537	"theodoridou, a."	1	9
1538	"thian, y.l."	1	3
1539	"thomas, o."	1	7
1540	"thomsen, k.r."	1	7
1541	"thomson, a."	2	8
1542	"thomson, d.m."	2	18
1543	"thun, h."	1	2
1544	"thune, h."	1	5
1545	"thut, g."	52	223
1546	"tiemann, l."	4	29
1547	"tierney, k.m."	2	14
1548	"tigue, c.c."	2	14
1549	"tijssen, r.h.n."	1	4
1550	"timmermann, l."	1	7
1551	"tincher, m.m."	1	2
1552	"tiong, s.y.x."	1	6
1553	"todd, a.j."	24	154
1554	"todorov, a."	1	2
1555	"todorova, g.k."	1	1
1556	"toft, a."	1	5
1557	"togashi, k."	3	23
1558	"tohka, j."	2	11
1559	"toivo, w."	1	1
1560	"tokariev, a."	4	15
1561	"toll, d."	1	7
1562	"tombini, m."	2	24
1563	"tomkins, a.j."	2	18
1564	"torrance, j.s."	3	12
1565	"toyonaga, h."	1	13
1566	"tozaki-saitoh, h."	1	13
1567	"trampel, r."	2	18
1568	"tranter, m.m."	1	20
1569	"trattnig, s."	1	10
1570	"traum, d."	5	72
1571	"tremblay, s."	1	21
1572	"triantafillou, p."	2	4
1573	"trubina, e."	1	4
1574	"tsantani, m.s."	1	3
1575	"tseng, p.-y."	2	28
1576	"tsuda, m."	1	13
1577	"tsuji, g."	1	11
1578	"tucker, c."	1	6
1579	"tucker, m."	1	8
1580	"tuna, f."	1	5
1581	"tungaraza, f."	1	3
1582	"tunovic, s."	1	2
1583	"tuomainen, j."	1	22
1584	"turnbull, j.e."	1	8
1585	"turnbull, k."	1	15
1586	"turnbull, s."	1	3
1587	"turner, r."	2	18
1588	"tuyls, k."	1	3
1589	"tybur, j.m."	3	21
1590	"tylén, k."	1	5
1591	"tölle, t.r."	1	8
1592	"uchi, h."	2	19
1593	"ueguchi, t."	1	5
1594	"ugurbil, k."	2	12
1595	"uhlemann, s."	1	10
1596	"uhlhaas, p."	3	24
1597	"uhlhaas, p.j."	27	135
1598	"uludağ, k."	2	12
1599	"umata, i."	1	6
1600	"umeoka, s."	1	7
1601	"urgesi, c."	1	2
1602	"uttley, l."	1	5
1603	"uusitalo, h."	1	10
1604	"valdes-sosa, m."	2	13
1605	"valdes-sosa, p.a."	1	7
1606	"valero-cabré, a."	1	11
1607	"vallatos, a."	6	43
1608	"vallatos, a.v."	1	7
1609	"vallée, j.-p."	1	6
1610	"van agtmael, t."	1	11
1611	"van anders, s.m."	1	1
1612	"van atteveldt, n."	1	3
1613	"van den heuvel, m.p."	1	7
1614	"van der ham, i.j.m."	1	6
1615	"van der laan, l.n."	1	3
1616	"van der stigchel, s."	2	5
1617	"van der zwaag, w."	3	16
1618	"van dijk, j.a."	2	11
1619	"van dillen, l.f."	1	1
1620	"van doesum, t."	2	12
1621	"van genderen, m."	2	12
1622	"van koningsbruggen, g.m."	3	10
1623	"van rijsbergen, n."	3	9
1624	"van rijsbergen, n.j."	3	15
1625	"van schie, h.t."	1	4
1626	"van veluw, s.j."	3	20
1627	"van winckel, m."	1	2
1628	"vangel, m."	1	8
1629	"vanhatalo, s."	4	15
1630	"vasan, r."	1	23
1631	"vaz, s."	1	5
1632	"velasquez, t."	1	8
1633	"veniero, d."	12	48
1634	"ventrucci, m."	1	3
1635	"vergnolle, n."	1	20
1636	"verhaagen, j."	1	8
1637	"vermeent, s."	1	4
1638	"vernet, m."	1	1
1639	"versluis, i."	3	4
1640	"versluis, m."	1	6
1641	"versluis, m.j."	1	6
1642	"verwei, s."	1	5
1643	"vetter, p."	4	10
1644	"viallon, m."	1	6
1645	"vicary, s."	1	5
1646	"videman, m."	1	3
1647	"villarreal, d."	2	24
1648	"villringer, k."	1	4
1649	"visser, f."	3	20
1650	"vizioli, l."	3	14
1651	"vogels, r."	1	2
1652	"von grebmer zu wolfsthurn, s."	1	22
1653	"von samson-himmelstjerna, f."	1	5
1654	"voss, m."	1	9
1655	"vossen, a."	2	5
1656	"voth, i."	1	8
1657	"vuckovic, a."	1	3
1658	"wacongne, c."	1	11
1659	"waite, f."	1	5
1660	"walker, b."	3	14
1661	"walker, m.p."	1	1
1662	"wallace, a.m."	1	16
1663	"walsh, d."	1	4
1664	"wandell, b.a."	1	6
1665	"wang, h."	15	95
1666	"wang, n."	1	2
1667	"wang, q."	1	4
1668	"wang, s.h."	7	33
1669	"ward, j."	6	71
1670	"wasilewski-masker, k."	1	5
1671	"wassermann, e.m."	1	19
1672	"watanabe, m."	19	163
1673	"watkins, c.d."	2	3
1674	"watson, r.h."	1	10
1675	"weigand, b."	3	19
1676	"weighall, a.r."	1	4
1677	"weileng ang, b."	1	3
1678	"weishaupt, k."	1	8
1679	"weiss, a.r."	1	8
1680	"weisz, n."	1	3
1681	"welch, g."	1	7
1682	"welling, l.l.m."	1	4
1683	"west, s.j."	1	15
1684	"west, t."	1	16
1685	"wetterling, f."	1	6
1686	"wheatley, t."	1	2
1687	"white, c.b."	1	16
1688	"white, d."	1	4
1689	"white, s."	2	8
1690	"whittet, c."	2	6
1691	"whittingstall, k."	1	4
1692	"whittington, m.a."	1	8
1693	"whyte, t."	1	4
1694	"wibral, m."	8	76
1695	"wiers, r.w."	1	6
1696	"wigboldus, d."	1	3
1697	"wigboldus, d.h.j."	1	4
1698	"wiggett, a.j."	1	2
1699	"wilcox, r.r."	3	5
1700	"wildner, h."	2	28
1701	"wilkinson, j.d."	1	5
1702	"williams, e.h."	1	1
1703	"williams, n."	1	5
1704	"williams, s.r."	1	6
1705	"willis, a."	2	5
1706	"wilson, c."	1	3
1707	"wilson-mendenhall, c.d."	5	13
1708	"wincenciak, j."	6	34
1709	"winchester, c.l."	2	16
1710	"winter, c."	1	7
1711	"wisner, d.j."	1	8
1712	"witkovsky, v."	1	8
1713	"wolffhechel, k."	1	5
1714	"wollstadt, p."	1	10
1715	"wood, r."	3	47
1716	"wood, s.j."	1	9
1717	"woods, h.c."	3	7
1718	"wooff, c."	1	10
1719	"work, l.m."	1	7
1720	"wormald, c."	4	32
1721	"wretstrand, a."	1	9
1722	"wu, h."	2	32
1723	"wulfeck, b.b."	1	3
1724	"wyse, c."	1	5
1725	"wyse, c.a."	7	71
1726	"xiao, x."	1	5
1727	"xie, w."	1	3
1728	"xu, h."	1	4
1729	"xu, s."	2	14
1730	"xu, t."	1	4
1731	"xu, x."	1	5
1732	"xu, y."	4	27
1733	"yacoub, e."	2	12
1734	"yamada, h."	2	16
1735	"yamaguchi, c."	1	13
1736	"yamamoto, a."	2	16
1737	"yan, x."	1	11
1738	"yang, g."	1	4
1739	"yang, y."	1	5
1740	"yao, b."	5	18
1741	"yasaka, t."	2	20
1742	"yongsatianchot, n."	1	1
1743	"ypsilanti, a."	1	6
1744	"yu, h."	2	6
1745	"zacks, j.m."	1	4
1746	"zakari, h.m."	2	4
1747	"zaldivar, d."	4	14
1748	"zaric, o."	1	10
1749	"zeev-wolf, m."	1	11
1750	"zeilhofer, h.u."	2	28
1751	"zhan, j."	3	11
1752	"zhang, j."	1	5
1753	"zhang, l."	2	10
1754	"zhang, w."	2	12
1755	"zhang, x."	1	8
1756	"zhigalov, a."	4	17
1757	"zhou, k."	1	5
1758	"ziegler, a."	4	32
1759	"ziemann, u."	3	51
1760	"zimmerman, a."	1	11
1761	"zimmerman, a.l."	1	14
1762	"zioga, p."	3	10
1763	"zomorrodi, r."	1	21
1764	"zuiderbaan, w."	1	6
1765	"zwanenburg, j.j.m."	3	20
1766	"østergaard, l."	1	7
